VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,VC9,VC10,VC11,VC12,VC13,VC14,VC15,VC16,VC17,VC18,VC19,VC20,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,VD_puntaje_total,DP_puntaje_tot,VD_niveles,DP_niveles,DP_conductual,DP_actitudinal,DP_intelectual,DP_conductual_niveles,DP_actitudinal_niveles,DP_intelectual_niveles,VD_autorrealizacion,VD_compromiso,VD_satisfacción,VD_identidad_docente,VD_autorrealizacion_niveles,VD_compromiso_niveles,VD_satisfaccion_niveles,VD_indentidad_niveles
4,4,4,5,4,4,4,4,5,4,4,4,4,5,5,4,5,4,4,5,3,4,4,5,4,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,86,91,5,4,32,26,33,4,5,4,17,25,26,18,5,4,5,5
5,5,4,4,3,4,4,5,5,5,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4,3,4,5,5,5,4,4,4,4,4,4,4,5,3,3,86,88,5,4,30,27,31,4,5,4,18,26,26,16,5,5,5,4
3,2,2,3,2,4,4,5,5,5,5,5,4,4,5,5,5,2,5,5,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,10,25,28,17,2,4,5,5
4,4,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,93,101,5,5,34,30,37,5,5,5,17,30,27,19,5,5,5,5
4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,85,90,5,4,33,25,32,4,4,4,16,26,26,17,4,5,5,5
4,5,4,4,5,5,5,4,4,5,4,5,5,4,5,4,5,5,5,4,4,3,4,3,4,3,3,4,4,5,4,5,5,4,4,5,5,4,4,5,4,4,91,90,5,4,28,27,35,4,5,5,17,28,27,19,5,5,5,5
4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,85,88,5,4,32,24,32,4,4,4,16,26,27,16,4,5,5,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,109,5,5,39,30,40,5,5,5,20,30,30,20,5,5,5,5
4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,5,3,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,94,96,5,5,31,27,38,4,5,5,16,30,28,20,4,5,5,5
4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,90,100,5,5,37,27,36,5,5,5,16,30,28,16,4,5,5,4
5,4,4,4,4,5,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,88,94,5,5,34,25,35,5,4,5,17,27,28,16,5,5,5,4
4,4,3,5,5,5,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,4,4,5,4,5,4,4,5,5,4,4,5,5,4,4,4,5,4,5,4,5,89,97,5,5,34,28,35,5,5,5,16,28,26,19,4,5,5,5
4,4,4,5,4,4,5,4,5,4,4,4,5,5,4,5,5,4,5,5,4,5,5,4,4,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,89,101,5,5,36,29,36,5,5,5,17,26,27,19,5,5,5,5
4,4,4,5,4,4,5,4,4,5,5,4,4,5,4,5,5,5,5,5,4,4,4,4,5,5,4,5,4,5,5,4,4,5,4,4,5,4,5,5,5,5,90,99,5,5,35,27,37,5,5,5,17,26,27,20,5,5,5,5
4,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,5,4,4,4,5,5,4,4,4,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5,87,100,5,5,35,28,37,5,5,5,17,26,26,18,5,5,5,5
4,4,5,4,5,4,4,5,5,4,5,5,4,4,4,5,5,5,5,5,4,4,5,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,5,5,4,4,91,98,5,5,35,29,34,5,5,5,17,27,27,20,5,5,5,5
4,5,4,5,5,4,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,5,4,4,4,5,4,4,5,5,4,4,5,4,4,5,5,4,90,98,5,5,36,27,35,5,5,5,18,27,26,19,5,5,5,5
4,4,4,5,4,4,5,4,4,5,5,5,4,4,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,88,100,5,5,34,30,36,5,5,5,17,26,27,18,5,5,5,5
2,3,2,4,3,4,4,4,3,2,3,4,3,2,4,4,4,2,1,2,4,4,4,3,4,4,4,4,4,3,5,4,4,2,1,4,4,4,4,4,4,4,60,82,3,4,31,22,29,4,4,4,11,20,20,9,3,3,3,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,110,5,5,40,30,40,5,5,5,20,30,30,19,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,110,5,5,40,30,40,5,5,5,19,30,30,20,5,5,5,5
4,2,2,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,2,4,4,4,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,85,92,5,4,33,26,33,4,5,4,12,30,28,15,3,5,5,4
4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,4,5,3,5,4,5,4,4,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,90,101,5,5,35,29,37,5,5,5,16,29,28,17,4,5,5,5
4,3,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,87,89,5,4,32,25,32,4,4,4,15,28,28,16,4,5,5,4
4,1,2,3,4,5,4,3,5,5,4,3,3,3,5,4,3,3,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,72,91,4,4,32,25,34,4,4,5,10,26,22,14,2,5,4,4
5,4,3,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,89,82,5,4,29,24,29,4,4,4,16,28,27,18,4,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,80,80,4,4,28,24,28,4,4,4,16,24,24,16,4,4,4,4
4,4,4,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,89,93,5,5,33,28,32,4,5,4,16,27,29,17,4,5,5,5
