VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,VC9,VC10,VC11,VC12,VC13,VC14,VC15,VC16,VC17,VC18,VC19,VC20,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,VD_puntaje_total,DP_puntaje_tot,VD_niveles,DP_niveles,DP_conductual,DP_actitudinal,DP_intelectual,DP_conductual_niveles,DP_actitudinal_niveles,DP_intelectual_niveles,VD_autorrealizacion,VD_compromiso,VD_satisfacción,VD_identidad_docente,VD_autorrealizacion_niveles,VD_compromiso_niveles,VD_satisfaccion_niveles,VD_indentidad_niveles
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,98,103,5,5,37,28,38,5,5,5,20,30,30,18,5,5,5,5
5,4,4,5,4,5,5,4,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,92,103,5,5,38,29,36,5,5,5,18,28,27,19,5,5,5,5
5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95,110,5,5,40,30,40,5,5,5,15,30,30,20,4,5,5,5
5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,94,110,5,5,40,30,40,5,5,5,14,30,30,20,4,5,5,5
4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,96,94,5,5,35,27,32,5,5,4,16,30,30,20,4,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,85,91,5,4,33,25,33,4,4,4,16,24,26,19,4,4,5,5
4,4,4,4,4,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,5,5,4,4,4,4,5,91,96,5,5,33,27,36,4,5,5,16,28,28,19,4,5,5,5
4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,95,106,5,5,38,29,39,5,5,5,17,29,29,20,5,5,5,5
5,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,4,5,4,5,4,4,5,92,95,5,5,33,26,36,4,5,5,20,27,26,19,5,5,5,5
5,3,3,4,5,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,4,5,4,4,5,4,5,4,4,4,4,5,4,4,5,5,4,5,4,90,96,5,5,35,25,36,5,4,5,15,28,28,19,4,5,5,5
4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5,4,4,4,5,5,4,5,5,93,100,5,5,34,30,36,5,5,5,16,30,28,19,4,5,5,5
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,99,96,5,5,33,29,34,4,5,5,20,29,30,20,5,5,5,5
5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,4,5,5,97,97,5,5,32,27,38,4,5,5,19,30,28,20,5,5,5,5
4,3,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4,5,5,4,4,4,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,4,4,4,4,86,97,5,5,34,28,35,5,5,5,15,24,28,19,4,4,5,5
5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,5,4,91,100,5,5,37,27,36,5,5,5,18,27,27,19,5,5,5,5
4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,85,91,5,4,34,25,32,5,4,4,18,26,24,17,5,5,4,5
4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,4,81,84,4,4,29,25,30,4,4,4,16,25,24,16,4,4,4,4
4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,4,4,5,96,96,5,5,34,27,35,5,5,5,18,28,30,20,5,5,5,5
2,2,2,3,3,3,3,3,5,5,4,4,3,5,4,4,4,4,5,2,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,5,70,89,4,4,33,25,31,4,4,4,9,22,24,15,2,4,4,4
4,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,5,86,96,5,5,34,26,36,5,5,5,17,26,25,18,5,5,4,5
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,2,3,3,4,4,4,4,3,5,80,78,4,4,29,19,30,4,3,4,16,24,24,16,4,4,4,4
5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94,22,5,1,8,6,8,1,1,1,18,29,27,20,5,5,5,5
4,2,2,3,4,5,5,4,5,5,3,3,3,4,5,4,3,4,5,3,4,4,3,5,4,2,3,5,4,5,4,4,5,4,4,5,4,4,4,4,3,5,76,89,4,4,30,26,33,4,5,4,11,28,22,15,3,5,4,4
5,5,3,5,3,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,5,91,94,5,5,34,27,33,5,5,4,18,28,26,19,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,100,88,5,4,30,24,34,4,4,5,20,30,30,20,5,5,5,5
4,4,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,94,89,5,4,32,25,32,4,4,4,18,27,29,20,5,5,5,5
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91,88,5,4,32,24,32,4,4,4,16,25,30,20,4,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,80,91,4,4,33,25,33,4,4,4,16,24,24,16,4,4,4,4
5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,5,98,88,5,4,31,25,32,4,4,4,18,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,98,88,5,4,32,24,32,4,4,4,18,30,30,20,5,5,5,5
3,4,4,3,4,5,5,5,5,5,4,4,4,4,5,5,4,4,5,4,3,4,4,3,4,3,3,4,4,4,4,5,5,5,4,3,4,4,4,4,4,4,86,86,5,4,28,27,31,4,5,4,14,29,26,17,4,5,5,5
5,4,5,4,3,5,4,5,4,4,4,5,3,4,5,4,5,5,4,4,5,4,4,3,4,3,5,3,4,4,4,4,4,3,4,5,4,3,4,4,5,5,86,88,5,4,31,23,34,4,4,5,18,25,25,18,5,4,4,5
5,4,4,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,4,1,4,4,5,5,4,4,1,1,1,4,5,5,5,5,5,5,4,4,4,5,94,85,5,4,31,17,37,4,3,5,17,29,28,20,5,5,5,5
4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,3,4,3,3,4,2,4,3,4,3,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3,74,76,4,4,27,22,27,3,4,3,16,23,21,14,4,4,4,4
