Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
1186071;21419761;SAN AGUSTIN DE INGENIERIA;Secundaria;Privada;Particular;ASTONITAS GUANILO JUANA;Activo;JIRON ANTONIO GARLAND 617;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;32;5;5
0884742;21428590;HENRI WALLON;Secundaria;Privada;Particular;PONCE ESPINOZA HILDA DIONICIA;Activo;JIRON LOBITOS 480;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;214;10;8
1186360;;MARIA MAGDALENA;Secundaria;Privada;Particular;GARRO SOTELO MAGDA ELENA;Activo;JIRON LORETO 3888;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;100;8;5
1186402;21262250;JUAN PABLO AYLLON HERRERA;Secundaria;Privada;Particular;MARIA MERCEDES TORREJON DEL AGUILA;Activo;AVENIDA BELAUNDE S/N MZ I LOTE 22;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;120;11;5
1185321;21432040;SANTISIMA VIRGEN DE LA PUERTA;Secundaria;Privada;Particular;LLANOS AGUILAR GLORIA ELIZABETH;Activo;CALLE BERNARDO MONTEAGUDO 105 MZ A LOTE 16;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;170;14;10
0885467;22508849;CARLOS ALBERTO IZAGUIRRE;Secundaria;Privada;Particular;GUILLEN GIRALDO WINSTON WALDO;Activo;AVENIDA CARLOS IZAGUIRRE CUADRA 18 MZ A LOTE 6;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;43;11;5
0884957;21413641;SAN PEDRO;Secundaria;Privada;Particular;ARADIEL OTINIANO JENNY ELIZABETH;Activo;CALLE VERONA 371;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;;;
0884650;21415472;ALFREDO REBAZA ACOSTA;Secundaria;Privada;Particular;UGAS VERA GLADYS VIOLETA;Activo;JIRON PUERTO BARRIOS 520;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;0;0;0
0651752;21413232;RAUL PORRAS BARRENECHEA;Secundaria;Privada;Particular;MENDOZA ALIAGA ESTHER JUDITH;Activo;AVENIDA LIMA 3812;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;39;9;5
0885335;24587193;SANTO TOMAS DE AQUINO DE LOS JARDIN;Secundaria;Privada;Particular;SOTO CASTILLA CATALINA;Activo;JIRON LOS TAMARINDOS 295;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;252;10;10
0884882;25202112;SAN JOSE MARIA;Secundaria;Privada;Particular;DIAZ LUDEÑA DE PALERMO EVA GISSELA;Activo;JIRON LA LIBERTAD 3586;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;152;9;5
0884833;;MIGUEL ANGEL;Secundaria;Privada;Particular;BEDREGAL MALCA MIGUEL ANGEL;Activo;JIRON LOS MELOCOTONES 279;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;130;8;6
0884726;;ALBORADA;Secundaria;Privada;Particular;MUÑOZ SILVA HUGO OSWALDO;Activo;MZ D LOTE 29;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;0;0;0
0582031;21429589;SANTA ANA DE INGENIERIA;Secundaria;Privada;Particular;RIVERA CARRASCAL OSCAR MARTIN;Activo;JIRON FEDERICO BASADRE 275;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;478;17;15
0885392;;SAN FRANCISCO DE CAYRAN;Secundaria;Privada;Particular;BALDEON PONCE LUZ CELESTE;Activo;MZ E1 LOTE 41-42;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;216;6;10
1088848;22516019;MIGUEL ARCANGEL;Secundaria;Privada;Particular;CHAVEZ CARRETERO ROSA CANDELARIA;Activo;JIRON MANUEL GALVEZ 196;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;41;5;5
1187244;25726421;SEÑOR DE LA ASCENCION;Secundaria;Privada;Particular;CRUCES LIZANO MARGARITA;Activo;CALLE SANTA PATRICIA 6543;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;;;
1088806;21556041;ARQUITECTOS SCHOOL;Secundaria;Privada;Particular;VILLALBA DIAZ GLORIA MARITZA;Activo;AVENIDA ABANCAY 975;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;0;0;0
